
Sen: 128, Thr: 1676, Mo: 1900
Sen: 128, Thr: 1671, Mo: 1900
Sen: 128, Thr: 1679, Mo: 1900
Sen: 128, Thr: 1674, Mo: 1900
Sen: 128, Thr: 1667, Mo: 1900
Sen: 128, Thr: 1679, Mo: 1900
Sen: 128, Thr: 1673, Mo: 1900
Sen: 128, Thr: 1675, Mo: 1900
Sen: 128, Thr: 1666, Mo: 1900
Sen: 128, Thr: 1676, Mo: 1900
Sen: 128, Thr: 1673, Mo: 1900
Sen: 128, Thr: 1668, Mo: 1900
Sen: 128, Thr: 1672, Mo: 1900
Sen: 128, Thr: 1678, Mo: 1900
Sen: 128, Thr: 1671, Mo: 1900
Sen: 128, Thr: 1671, Mo: 1900
Sen: 128, Thr: 1674, Mo: 1900
Sen: 128, Thr: 1673, Mo: 1900
Sen: 128, Thr: 1676, Mo: 1900
Sen: 128, Thr: 1674, Mo: 1900
Sen: 128, Thr: 1674, Mo: 1900
Sen: 128, Thr: 1676, Mo: 1900
Sen: 128, Thr: 1670, Mo: 1900
Sen: 128, Thr: 1674, Mo: 1900
Sen: 128, Thr: 1670, Mo: 1900
Sen: 128, Thr: 1665, Mo: 1900
Sen: 128, Thr: 1672, Mo: 1900
Sen: 128, Thr: 1667, Mo: 1900
Sen: 128, Thr: 1667, Mo: 1900
Sen: 128, Thr: 1667, Mo: 1900
Sen: 128, Thr: 1676, Mo: 1900
Sen: 128, Thr: 1661, Mo: 1900
Sen: 128, Thr: 1671, Mo: 1900
Sen: 128, Thr: 1667, Mo: 1900
Sen: 128, Thr: 1678, Mo: 1900
Sen: 128, Thr: 1666, Mo: 1900
Sen: 128, Thr: 1668, Mo: 1900
Sen: 128, Thr: 1674, Mo: 1900
Sen: 128, Thr: 1668, Mo: 1900
Sen: 128, Thr: 1668, Mo: 1900
Sen: 128, Thr: 1669, Mo: 1900
Sen: 128, Thr: 1670, Mo: 1900
Sen: 128, Thr: 1671, Mo: 1900
Sen: 128, Thr: 1673, Mo: 1900
Sen: 128, Thr: 1667, Mo: 1900
Sen: 128, Thr: 1671, Mo: 1900
Sen: 128, Thr: 1670, Mo: 1900
Sen: 128, Thr: 1666, Mo: 1900
Sen: 128, Thr: 1666, Mo: 1900
Sen: 128, Thr: 1674, Mo: 1900
Sen: 128, Thr: 1666, Mo: 1900
Sen: 128, Thr: 1668, Mo: 1900
Sen: 128, Thr: 1673, Mo: 1900
Sen: 128, Thr: 1674, Mo: 1900
Sen: 128, Thr: 1658, Mo: 1900
Sen: 128, Thr: 1671, Mo: 1900
Sen: 128, Thr: 1669, Mo: 1900
Sen: 128, Thr: 1665, Mo: 1900
Sen: 128, Thr: 1659, Mo: 1900
Sen: 128, Thr: 1670, Mo: 1900
Sen: 128, Thr: 1666, Mo: 1900
Sen: 128, Thr: 1672, Mo: 1900
Sen: 128, Thr: 1664, Mo: 1900
